date,total,up_to_1_year,1_to_5_years,5_to_10_years,over_10_years
2019-01-01,1.92,2.09,1.69,1.7,1.95
2019-02-01,1.84,2.04,1.65,1.63,1.85
2019-03-01,1.8,2.04,1.64,1.59,1.79
2019-04-01,1.72,2.04,1.48,1.53,1.72
2019-05-01,1.68,2.0,1.5,1.46,1.67
2019-06-01,1.63,1.98,1.44,1.41,1.61
2019-07-01,1.54,1.98,1.43,1.34,1.49
2019-08-01,1.43,1.86,1.38,1.23,1.36
2019-09-01,1.34,1.88,1.38,1.14,1.24
2019-10-01,1.31,1.91,1.31,1.12,1.22
2019-11-01,1.31,1.84,1.3,1.09,1.25
2019-12-01,1.34,1.81,1.37,1.14,1.26
2020-01-01,1.39,1.83,1.32,1.16,1.35
2020-02-01,1.33,1.82,1.33,1.13,1.26
2020-03-01,1.27,1.83,1.32,1.07,1.18
2020-04-01,1.29,1.78,1.32,1.11,1.22
2020-05-01,1.37,1.93,1.47,1.12,1.27
2020-06-01,1.38,1.94,1.59,1.17,1.28
2020-07-01,1.32,1.81,1.39,1.12,1.24
2020-08-01,1.28,1.8,1.44,1.07,1.2
2020-09-01,1.26,1.77,1.35,1.07,1.17
2020-10-01,1.24,1.75,1.32,1.03,1.17
2020-11-01,1.22,1.72,1.28,1.03,1.14
2020-12-01,1.21,1.75,1.31,1.02,1.11
2021-01-01,1.23,1.79,1.34,1.03,1.15
2021-02-01,1.22,1.73,1.28,1.04,1.14
2021-03-01,1.22,1.75,1.25,1.02,1.17
2021-04-01,1.27,1.79,1.28,1.06,1.23
2021-05-01,1.31,1.83,1.3,1.09,1.29
2021-06-01,1.34,1.74,1.33,1.12,1.33
2021-07-01,1.36,1.76,1.32,1.14,1.34
2021-08-01,1.31,1.78,1.37,1.1,1.28
2021-09-01,1.31,1.8,1.33,1.09,1.27
2021-10-01,1.32,1.79,1.33,1.1,1.29
2021-11-01,1.36,1.83,1.43,1.15,1.33
2021-12-01,1.37,1.8,1.39,1.16,1.34
2022-01-01,1.39,1.83,1.35,1.19,1.37
2022-02-01,1.49,1.86,1.45,1.29,1.48
2022-03-01,1.69,1.93,1.65,1.5,1.71
2022-04-01,1.98,2.01,1.88,1.81,2.04
2022-05-01,2.29,2.1,2.1,2.12,2.42
2022-06-01,2.62,2.19,2.45,2.46,2.77
2022-07-01,2.85,2.33,2.64,2.73,3.04
2022-08-01,2.89,2.55,2.78,2.74,3.04
2022-09-01,3.08,2.73,2.93,2.96,3.18
2022-10-01,3.31,2.9,3.23,3.19,3.48
2022-11-01,3.67,3.4,3.75,3.51,3.75
2022-12-01,3.6,3.57,3.74,3.41,3.55
2023-01-01,3.73,3.95,3.8,3.45,3.7
2023-02-01,3.85,4.16,3.99,3.6,3.74
2023-03-01,3.95,4.44,4.1,3.64,3.8
2023-04-01,3.98,4.63,4.23,3.7,3.77
2023-05-01,3.99,4.82,4.27,3.66,3.76
2023-06-01,4.12,5.05,4.38,3.73,3.84
2023-07-01,4.08,5.2,4.37,3.71,3.82
2023-08-01,4.19,5.29,4.53,3.81,3.89
2023-09-01,4.17,5.4,4.48,3.89,3.85
2023-10-01,4.22,5.53,4.53,3.85,3.9
2023-11-01,4.27,5.62,4.61,3.92,3.92
2023-12-01,4.12,5.56,4.44,3.8,3.65
2024-01-01,3.9,5.44,4.08,3.56,3.55
2024-02-01,3.92,5.41,4.04,3.59,3.61
2024-03-01,3.88,5.28,4.09,3.55,3.61
2024-04-01,3.91,5.45,4.06,3.57,3.64
2024-05-01,3.96,5.44,4.14,3.6,3.69
2024-06-01,3.99,5.51,4.19,3.66,3.68
2024-07-01,3.97,5.38,4.15,3.64,3.71
2024-08-01,3.87,5.37,4.01,3.6,3.6
2024-09-01,3.78,5.29,3.88,3.47,3.5
2024-10-01,3.69,4.99,3.81,3.42,3.45
2024-11-01,3.65,5.02,3.67,3.36,3.39
2024-12-01,3.59,4.78,3.7,3.32,3.34
2025-01-01,3.56,4.6,3.5,3.3,3.41
2025-02-01,3.63,4.56,3.6,3.35,3.48
2025-03-01,3.64,4.41,3.62,3.39,3.54
2025-04-01,3.73,4.44,3.59,3.48,3.65
2025-05-01,3.7,4.33,3.52,3.51,3.63
2025-06-01,3.72,4.24,3.52,3.52,3.68
2025-07-01,3.72,4.12,3.5,3.55,3.69
2025-08-01,3.76,4.18,3.55,3.56,3.73
2025-09-01,3.78,4.16,3.58,3.6,3.79
2025-10-01,3.75,4.16,3.6,3.58,3.71
2025-11-01,3.75,4.17,3.56,3.56,3.72
2025-12-01,3.8,4.12,3.61,3.58,3.73
2026-01-01,3.87,4.16,3.6,3.58,3.84
2026-02-01,3.85,4.17,3.63,3.61,3.82
2026-03-01,3.79,4.07,3.63,3.6,3.74
2026-04-01,3.89,4.18,3.78,3.66,3.91
2026-05-01,3.99,4.34,3.92,3.74,3.97
2026-06-01,4.0,4.36,3.96,3.76,3.98
2026-07-01,3.98,4.41,3.97,3.78,3.92
